geoName,interest,date,lat,long,city
Albuquerque New Mexico United States of America,100,2019-01-01,35.0841034,-106.6509851,Albuquerque 
Boston Massachusetts United States of America,11,2019-01-07,42.3602534,-71.0582912,Boston 
Denver Colorado United States of America,17,2019-01-07,39.7392364,-104.9848623,Denver 
Detroit Michigan United States of America,17,2019-01-07,42.3315509,-83.0466403,Detroit 
Kansas City Missouri United States of America,33,2019-01-07,39.100105,-94.5781416,Kansas City 
Las Vegas Nevada United States of America,37,2019-01-07,36.1672559,-115.1485163,Las Vegas 
Los Angeles California United States of America,4,2019-01-07,34.0536909,-118.2427666,Los Angeles 
New York New York United States of America,6,2019-01-07,36.1021436,-115.17449463280128,New York 
Omaha Nebraska United States of America,68,2019-01-07,41.2587459,-95.9383758,Omaha 
San Francisco California United States of America,8,2019-01-07,37.7790262,-122.4199061,San Francisco 
Toledo Ohio United States of America,100,2019-01-07,41.6786754,-83.5127283,Toledo 
Albany New York United States of America,26,2019-01-14,42.6511674,-73.754968,Albany 
Albuquerque New Mexico United States of America,23,2019-01-14,35.0841034,-106.6509851,Albuquerque 
Atlanta Georgia United States of America,4,2019-01-14,33.7490987,-84.3901849,Atlanta 
Chicago Illinois United States of America,3,2019-01-14,41.8755616,-87.6244212,Chicago 
Dayton Ohio United States of America,38,2019-01-14,39.7589478,-84.1916069,Dayton 
El Paso Texas United States of America,44,2019-01-14,31.7754152,-106.4646348,El Paso 
Gainesville Florida United States of America,100,2019-01-14,29.6519684,-82.3249846,Gainesville 
Grand Rapids Michigan United States of America,20,2019-01-14,42.9632405,-85.6678639,Grand Rapids 
Greenville South Carolina United States of America,19,2019-01-14,34.851354,-82.3984882,Greenville 
Houston Texas United States of America,5,2019-01-14,29.7589382,-95.3676974,Houston 
Jackson Mississippi United States of America,52,2019-01-14,32.2990384,-90.1847691,Jackson 
Las Vegas Nevada United States of America,16,2019-01-14,36.1672559,-115.1485163,Las Vegas 
Milwaukee Wisconsin United States of America,15,2019-01-14,43.0349931,-87.922497,Milwaukee 
Mobile Alabama United States of America,31,2019-01-14,30.6943566,-88.0430541,Mobile 
New York New York United States of America,1,2019-01-14,36.1021436,-115.17449463280128,New York 
Portland Oregon United States of America,11,2019-01-14,45.5202471,-122.6741949,Portland 
Reno Nevada United States of America,55,2019-01-14,39.5261206,-119.8126581,Reno 
Sacramento California United States of America,9,2019-01-14,38.5815719,-121.4943996,Sacramento 
San Francisco California United States of America,4,2019-01-14,37.7790262,-122.4199061,San Francisco 
Spokane Washington United States of America,39,2019-01-14,47.6579425,-117.4212265,Spokane 
Tampa Florida United States of America,8,2019-01-14,27.9477595,-82.458444,Tampa 
Cedar Rapids Iowa United States of America,94,2019-01-21,41.9758872,-91.6704053,Cedar Rapids 
Chicago Illinois United States of America,6,2019-01-21,41.8755616,-87.6244212,Chicago 
Ft. Smith Arkansas United States of America,100,2019-01-21,35.3872218,-94.4248983,Ft. Smith 
Greenville South Carolina United States of America,37,2019-01-21,34.851354,-82.3984882,Greenville 
Harrisburg Pennsylvania United States of America,44,2019-01-21,40.2663107,-76.8861122,Harrisburg 
New York New York United States of America,3,2019-01-21,36.1021436,-115.17449463280128,New York 
Phoenix Arizona United States of America,13,2019-01-21,33.4484367,-112.0741417,Phoenix 
Raleigh North Carolina United States of America,18,2019-01-21,35.7803977,-78.6390989,Raleigh 
Seattle Washington United States of America,12,2019-01-21,47.6038321,-122.3300624,Seattle 
Chicago Illinois United States of America,6,2019-01-28,41.8755616,-87.6244212,Chicago 
Houston Texas United States of America,8,2019-01-28,29.7589382,-95.3676974,Houston 
New York New York United States of America,2,2019-01-28,36.1021436,-115.17449463280128,New York 
Reno Nevada United States of America,100,2019-01-28,39.5261206,-119.8126581,Reno 
Dallas Texas United States of America,95,2019-02-04,32.7762719,-96.7968559,Dallas 
Los Angeles California United States of America,48,2019-02-04,34.0536909,-118.2427666,Los Angeles 
New York New York United States of America,32,2019-02-04,36.1021436,-115.17449463280128,New York 
Washington District of Columbia United States of America,100,2019-02-04,38.8948932,-77.0365529,Washington 
Davenport Iowa United States of America,100,2019-02-11,41.5236436,-90.5776368,Davenport 
Lincoln Nebraska United States of America,93,2019-02-11,40.8088861,-96.7077751,Lincoln 
Los Angeles California United States of America,3,2019-02-11,34.0536909,-118.2427666,Los Angeles 
New York New York United States of America,2,2019-02-11,36.1021436,-115.17449463280128,New York 
Sacramento California United States of America,27,2019-02-11,38.5815719,-121.4943996,Sacramento 
