geoName,interest,date,lat,long,city
Albuquerque New Mexico United States of America,32,2019-01-01,35.0841034,-106.6509851,Albuquerque 
Austin Texas United States of America,20,2019-01-01,30.2711286,-97.7436995,Austin 
Boston Massachusetts United States of America,7,2019-01-01,42.3602534,-71.0582912,Boston 
Denver Colorado United States of America,10,2019-01-01,39.7392364,-104.9848623,Denver 
Greenville South Carolina United States of America,27,2019-01-01,34.851354,-82.3984882,Greenville 
Houston Texas United States of America,7,2019-01-01,29.7589382,-95.3676974,Houston 
Providence Rhode Island United States of America,32,2019-01-01,41.8239891,-71.4128343,Providence 
Sacramento California United States of America,13,2019-01-01,38.5815719,-121.4943996,Sacramento 
Yakima Washington United States of America,100,2019-01-01,46.601557,-120.5108421,Yakima 
Atlanta Georgia United States of America,12,2019-01-07,33.7490987,-84.3901849,Atlanta 
Cincinnati Ohio United States of America,38,2019-01-07,39.1014537,-84.5124602,Cincinnati 
Des Moines Iowa United States of America,95,2019-01-07,41.5910641,-93.6037149,Des Moines 
Detroit Michigan United States of America,19,2019-01-07,42.3315509,-83.0466403,Detroit 
Knoxville Tennessee United States of America,87,2019-01-07,35.9603948,-83.9210261,Knoxville 
Los Angeles California United States of America,5,2019-01-07,34.0536909,-118.2427666,Los Angeles 
Minneapolis Minnesota United States of America,19,2019-01-07,44.9772995,-93.2654692,Minneapolis 
New York New York United States of America,4,2019-01-07,36.1021436,-115.17449463280128,New York 
Rochester New York United States of America,100,2019-01-07,43.157285,-77.615214,Rochester 
Baltimore Maryland United States of America,34,2019-01-14,39.2908816,-76.610759,Baltimore 
Charlotte North Carolina United States of America,26,2019-01-14,35.2270869,-80.8431268,Charlotte 
Columbus Ohio United States of America,38,2019-01-14,39.9622601,-83.0007065,Columbus 
Dallas Texas United States of America,10,2019-01-14,32.7762719,-96.7968559,Dallas 
Hartford Connecticut United States of America,34,2019-01-14,41.764582,-72.6908547,Hartford 
Houston Texas United States of America,12,2019-01-14,29.7589382,-95.3676974,Houston 
Mobile Alabama United States of America,82,2019-01-14,30.6943566,-88.0430541,Mobile 
New York New York United States of America,3,2019-01-14,36.1021436,-115.17449463280128,New York 
Orlando Florida United States of America,38,2019-01-14,28.5421109,-81.3790304,Orlando 
Phoenix Arizona United States of America,18,2019-01-14,33.4484367,-112.0741417,Phoenix 
Roanoke Virginia United States of America,100,2019-01-14,37.270973,-79.9414313,Roanoke 
Amarillo Texas United States of America,81,2019-01-21,35.2072185,-101.8338246,Amarillo 
Atlanta Georgia United States of America,3,2019-01-21,33.7490987,-84.3901849,Atlanta 
Baltimore Maryland United States of America,10,2019-01-21,39.2908816,-76.610759,Baltimore 
Chicago Illinois United States of America,2,2019-01-21,41.8755616,-87.6244212,Chicago 
