Category: All categories

Week,Stanley Cup: (United States)
2019-01-06,2
2019-01-13,2
2019-01-20,3
2019-01-27,2
2019-02-03,4
2019-02-10,3
2019-02-17,3
2019-02-24,3
2019-03-03,3
2019-03-10,3
2019-03-17,3
2019-03-24,3
2019-03-31,5
2019-04-07,17
2019-04-14,21
2019-04-21,29
2019-04-28,18
2019-05-05,23
2019-05-12,21
2019-05-19,27
2019-05-26,45
2019-06-02,44
2019-06-09,100
2019-06-16,10
2019-06-23,4
2019-06-30,3
2019-07-07,3
2019-07-14,3
2019-07-21,3
2019-07-28,2
2019-08-04,2
2019-08-11,2
2019-08-18,2
2019-08-25,2
2019-09-01,2
2019-09-08,2
2019-09-15,2
2019-09-22,2
2019-09-29,6
2019-10-06,4
2019-10-13,3
2019-10-20,3
2019-10-27,4
2019-11-03,3
2019-11-10,2
2019-11-17,3
2019-11-24,3
2019-12-01,3
2019-12-08,2
2019-12-15,2
2019-12-22,3
2019-12-29,3
